# nepali → c  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/guru/h2c.lex)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	c
यदि	yadi	if
अन्यथा	anyathaa	else
जबसम्म	jabasamma	while
गर	gara	do
लागि	laagi	for
रोक	rauka	break
जारी	jaarii	continue
फर्काऊ	pharakaauu	return
अचर	acara	const
कार्य	kaarya	void
वर्ग	varga	class
