# sanskrit → basic  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/praatha/h2b.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	basic
अन्यथा	anyathaa	ELSE
कुरु	kuru	DO
प्रति	prati	FOR
अनुवर्त	anuvarta	\nC continue;\n
पक्ष	pak_sa	WHILE
पूर्णाङ्क	puur_naa_nka	CINT
क्रिया	kriyaa	FUNCTION
स्थिर	sthira	CONST
यदा	yadaa	WHILE
लिख	likha	PRINT
