# sanskrit → cpp  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/shraeni/h2cpp.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	cpp
अन्यथा	anyathaa	else
यावत्	yaavat	while
कुरु	kuru	do
अनुवर्त	anuvarta	continue
विकल्प	vikalpa	switch
पूर्णाङ्क	puur_naa_nka	int
वर्ण	var_na	char
शून्य	shuunya	NULL
गुप्त	gupta	private
स्थिर	sthira	const
पठ	patha	read
