# tamil → java  |  script: Tamil  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/kritrima/h2j.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	java
இல்லையெனில்	illaiyenila	else
வரை	varai	while
செய்	sey	do
நிறுத்து	niruttu	stop
தொடர்	todara	continue
தேர்வு	teervu	switch
முழு	muzu	int
எழுத்து	ezuttu	char
தனிப்பட்ட	tanippatta	private
நிலையான	nilaiyaana	const
