# arabic → c  |  script: Arabic  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/guru/h2c.lex)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	c
إذا	izaa	if
وإلا	vaillaa	else
طالما	taalamaa	while
افعل	ifaela	do
لكل	likulli	for
اكسر	iksira	break
استمر	istamirra	continue
بدل	baddila	switch
حالة	haalah	case
افتراضي	iftiraadii	default
أرجع	arjie	return
ثابت	saabita	const
صحيح	sahiiha	int
عائم	aaima	float
مزدوج	muzdavija	double
حرف	harfa	char
فراغ	faraagha	void
دالة	daalah	void
صنف	sanfa	class
جديد	jadiida	new
عام	aamma	public
خاص	khaassa	private
ساكن	saakina	static
افتراضي	iftiraadii	virtual
عندما	indamaa	case
بنية	binyah	struct
ضمن	dammina	include
اقرأ	iqraa	scanf
اكتب	uktuba	printf
