# punjabi → c  |  script: Gurmukhi  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/guru/h2c.lex)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	c
ਜੇ	jee	if
ਨਹੀਂਤਾਂ	nahii_ntaa_n	else
ਜਦਤੱਕ	jadatakka	while
ਕਰੋ	karau	do
ਲਈ	laii	for
ਰੋਕੋ	raukau	break
ਜਾਰੀ	jaarii	continue
ਚੋਣ	cau_na	switch
ਹਾਲਤ	haalata	case
ਮੂਲ	muula	default
ਵਾਪਸ	vaapasa	return
ਅਚਲ	acala	const
ਪੂਰਨਅੰਕ	puurana_nka	int
ਦਸ਼ਮਲਵ	dashamalava	float
ਦੁੱਗਣਾ	duggsa_naa	double
ਅੱਖਰ	akkhara	char
ਖਾਲੀ	khaalii	void
ਕਾਰਜ	kaaraja	void
ਵਰਗ	varga	class
ਨਵਾਂ	navaa_n	new
ਜਨਤਕ	janataka	public
ਨਿਜੀ	nijii	private
ਸਥਿਰ	sathira	static
ਆਭਾਸੀ	aabhaasii	virtual
ਜਦੋਂ	jadau_n	case
ਬਣਤਰ	ba_natara	struct
