# sanskrit → c  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/guru/h2c.lex)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	c
यदि	yadi	if
अन्यथा	anyathaa	else
यावत्	yaavat	while
कुरु	kuru	do
प्रति	prati	for
भङ्ग	bha_nga	break
अनुवर्त	anuvarta	continue
विकल्प	vikalpa	switch
पक्ष	pak_sa	case
स्वभाव	svabhaava	default
प्रत्यागम	pratyaagama	return
ध्रुव	dhruva	const
पूर्णाङ्क	puur_naa_nka	int
भिन्न	bhinna	float
द्विगुण	dviguu_na	double
वर्ण	var_na	char
शून्य	shuunya	void
क्रिया	kriyaa	void
वर्ग	varga	class
नूतन	nuutana	new
सार्वजनिक	saarvajanika	public
गुप्त	gupta	private
स्थिर	sthira	static
आभास	aabhaasa	virtual
यदा	yadaa	case
संरचना	sa_nracanaa	struct
अन्तर्भाव	antarbhaava	include
पठ	patha	scanf
लिख	likha	printf
