# urdu → java  |  script: Perso-Arabic  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/kritrima/h2j.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	java
ورنہ	varnah	else
جبتک	jabataka	while
کرو	karau	do
توڑو	taudau	stop
جاری	jaarii	continue
انتخاب	inatikhaaba	switch
صحیح	sahiiha	int
حرف	harfa	char
نجی	nijii	private
ساکن	saakina	const
