# hindi → c  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/guru/h2c.lex)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	c
यदि	yadi	if
अन्यथा	anyathaa	else
जबतक	jabataka	while
करो	karau	do
हेतु	heetu	for
विराम	viraama	break
जारी	jaarii	continue
चयन	cayana	switch
स्थिति	sthiti	case
मूल	muula	default
लौटाओ	lautaaau	return
अचर	acara	const
पूर्णांक	puur_naa_nka	int
दशमलव	dashamalava	float
द्विगुण	dviguu_na	double
अक्षर	ak_sara	char
शून्य	shuunya	void
कृत्य	kr_tya	void
वर्ग	varga	class
नवीन	naviina	new
सार्वजनिक	saarvajanika	public
निजी	nijii	private
स्थिर	sthira	static
आभासी	aabhaasii	virtual
जब	jaba	case
संरचना	sa_nracanaa	struct
सम्मिलित	sammilita	include
पढ़ो	pa_dau	scanf
लिखो	likhau	printf
