# konkani → yacc  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/wyaaka/h2yacc.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	yacc
	mukhya	main
	praa_thamika.sa	basstub.c
	bhaaga.sa	alloc.h
	nishchi_ta.sa	assert.h
	moolapra_nna.sa	bios.h
	pattapana.sa	conio.h
	prakaara.sa	ctype.h
	soochee.sa	dir.h
	dausa.sa	dos.h
	_trutisa_m.sa	errno.h
	bhagna.sa	float.h
	pana.sa	io.h
	seemaa.sa	limits.h
	kxae_tra.sa	locale.h
	ga_nni_ta.sa	math.h
	sm_ri_ti.sa	mem.h
	kriyaa.sa	process.h
	samalaa_nagha.sa	setjmp.h
	sa_mkae_ta.sa	signal.h
	maanaka_tarka.sa	stdarg.h
	maanakaghoaxa.sa	stddef.h
	maanakapana.sa	stdio.h
	maanakakoaxa.sa	stdlib.h
	maalaa.sa	string.h
	s_thi_ti.sa	stat.h
	samaya.sa	time.h
	ba_samaya.sa	timeb.h
	_a_nnu	{
	poor_nna	}
	bapha_maana	BUFSIZ
	_akxara_bita	CHAR_BIT
	_akxara__uchcha	CHAR_MAX
	_akxara_nyoona	CHAR_MIN
	shishu__uchcha	CHILD_MAX
	gha_rdee_tika	CLK_TCK
	_dwiga_bhagna	DBL_DIG
	_dwiga__a_m_tara	DBL_EPSILON
	_dwiga_poor_nna	DBL_MANT_DIG
	_dwiga__uchcha	DBL_MAX
	_dwiga_nyoona	DBL_MIN
	soochee	DIR
	gala_ta__tarka	EDOM
	khaa_taapoor_nna	EOF
	_dusphala	ERANGE
	nikaasa__truti	EXIT_FAILURE
	nikaasa_saphala	EXIT_SUCCESS
	khaa_taa	FILE
	khaa_taanaama__uchcha	FILENAME_MAX
	bhagna_bhagna	FLT_DIG
	bhagna__a_m_tara	FLT_EPSILON
	bhagna_poor_nna	FLT_MANT_DIG
	bhagna__uchcha	FLT_MAX
	bhagna_nyoona	FLT_MIN
	bhagna__aa_dhaara	FLT_RADIX
	kha_khoaloa__uchcha	FOPEN_MAX
	wishaala_maana	HUGE_VAL
	_anan_ta	INFINITY
	poor_nnaa_mka__uchcha	INT_MAX
	poor_nnaa_mka_nyoona	INT_MIN
	_da__dwi_bhagna	LDBL_DIG
	_da__dwi__a_m_tara	LDBL_EPSILON
	_da__dwi_poor_nna	LDBL_MANT_DIG
	_da__dwi__uchcha	LDBL_MAX
	_da__dwi_nyoona	LDBL_MIN
	_deergha__uchcha	LONG_MAX
	_deergha_nyoona	LONG_MIN
	ba_kxa_nnika	L_tmpnam
	na__a_mka	NAN
	na_sa_mshoa_dhana	NDEBUG
	shoonya	NULL
	_akrama__uchcha	RAND_MAX
	cha__akxara__uchcha	SCHAR_MAX
	cha__akxara_nyoona	SCHAR_MIN
	pras_tu_ta_sae	SEEK_CUR
	_a_m_ta_sae	SEEK_END
	shuroo_sae	SEEK_SET
	laghu__uchcha	SHRT_MAX
	laghu_nyoona	SHRT_MIN
	sa_mka_paa_ta	SIBGABRT
	sa_mka_bha__truti	SIGFPE
	sa_mka__awai_dha	SIGILL
	sa_mka_wighna	SIGINT
	sa_mka__a_msha	SIGSEGV
	sa_mka__i_ti	SIGTERM
	sa_mka_poorwa	SIG_DFL
	sa_mka__truti	SIG_ERR
	sa_mka_chhoa_rdoa	SIG_IGN
	kxa_nnika__uchcha	TMP_MAX
	_acha__akxara__uchcha	UCHAR_MAX
	_acha_poor_nnaa_mka__uchcha	UINT_MAX
	_acha__deergha__uchcha	ULONG_MAX
	_acha_laghu__uchcha	USHRT_MAX
