construct,host,keyword,decorator
IF,asm,je,
IF,basic,IF,
IF,c,if,
IF,cpp,if,
IF,go,if,
IF,java,if,
IF,python,if,
IF,rust,if,
ELSE,basic,ELSE,
ELSE,c,else,
ELSE,cpp,else,
ELSE,go,else,
ELSE,java,else,
ELSE,python,else,
ELSE,rust,else,
WHILE,basic,WHILE,
WHILE,c,while,
WHILE,cpp,while,
WHILE,go,for,
WHILE,java,while,
WHILE,python,while,
WHILE,rust,while,
DO,basic,DO,
DO,c,do,
DO,cpp,do,
DO,java,do,
DO,rust,loop,
FOR,basic,FOR,
FOR,c,for,
FOR,cpp,for,
FOR,go,for,
FOR,java,for,
FOR,python,for,
FOR,rust,for,
BREAK,basic,EXIT,
BREAK,c,break,
BREAK,cpp,break,
BREAK,go,break,
BREAK,java,break,
BREAK,python,break,
BREAK,rust,break,
CONTINUE,c,continue,
CONTINUE,cpp,continue,
CONTINUE,go,continue,
CONTINUE,java,continue,
CONTINUE,python,continue,
CONTINUE,rust,continue,
SWITCH,c,switch,
SWITCH,cpp,switch,
SWITCH,go,switch,
SWITCH,java,switch,
SWITCH,python,match,
SWITCH,rust,match,
CASE,c,case,
CASE,cpp,case,
CASE,go,case,
CASE,java,case,
CASE,python,case,
CASE,rust,=>,
DEFAULT,c,default,
DEFAULT,cpp,default,
DEFAULT,go,default,
DEFAULT,java,default,
DEFAULT,python,_,
DEFAULT,rust,_,
RETURN,asm,ret,
RETURN,basic,RETURN,
RETURN,c,return,
RETURN,cpp,return,
RETURN,go,return,
RETURN,java,return,
RETURN,python,return,
RETURN,rust,return,
GOTO,asm,jmp,
GOTO,basic,GOTO,
GOTO,c,goto,
GOTO,cpp,goto,
GOTO,go,goto,
INT,basic,INTEGER,
INT,c,int,stdint.h (fixed width)
INT,cpp,int,
INT,go,int,
INT,java,int,
INT,python,int,
INT,rust,i32,
FLOAT,basic,SINGLE,
FLOAT,c,float,
FLOAT,cpp,float,
FLOAT,go,float32,
FLOAT,java,float,
FLOAT,python,float,
FLOAT,rust,f32,
DOUBLE,basic,DOUBLE,
DOUBLE,c,double,
DOUBLE,cpp,double,
DOUBLE,go,float64,
DOUBLE,java,double,
DOUBLE,rust,f64,
CHAR,basic,STRING,
CHAR,c,char,
CHAR,cpp,char,
CHAR,go,rune,
CHAR,java,char,
CHAR,python,str,
CHAR,rust,char,
VOID,c,void,
VOID,cpp,void,
VOID,go,,
VOID,java,void,
VOID,python,None,
VOID,rust,(),
BOOL,cpp,bool,stdbool.h (C)
BOOL,go,bool,
BOOL,java,boolean,
BOOL,python,bool,
BOOL,rust,bool,
CONST,c,const,
CONST,cpp,const,
CONST,go,const,
CONST,java,final,
CONST,python,Final,typing.Final
CONST,rust,const,
STATIC,c,static,
STATIC,cpp,static,
STATIC,go,,
STATIC,java,static,
STATIC,rust,static,
UNSIGNED,c,unsigned,
UNSIGNED,cpp,unsigned,
UNSIGNED,go,uint,
UNSIGNED,rust,u32,
STRUCT,c,struct,
STRUCT,cpp,struct,
STRUCT,go,struct,
STRUCT,python,dataclass,dataclasses
STRUCT,rust,struct,
UNION,c,union,
UNION,cpp,union,
UNION,rust,union,
ENUM,c,enum,
ENUM,cpp,enum,
ENUM,java,enum,
ENUM,python,Enum,enum
ENUM,rust,enum,
CLASS,cpp,class,
CLASS,java,class,
CLASS,python,class,
CLASS,rust,impl,
NEW,cpp,new,
NEW,java,new,
NEW,python,,
NEW,rust,Box::new,
PUBLIC,cpp,public,
PUBLIC,go,,
PUBLIC,java,public,
PUBLIC,rust,pub,
PRIVATE,cpp,private,
PRIVATE,java,private,
PRIVATE,python,_,
PRIVATE,rust,,
VIRTUAL,cpp,virtual,
VIRTUAL,java,abstract,
VIRTUAL,rust,dyn,
TEMPLATE,cpp,template,
TEMPLATE,go,[T any],
TEMPLATE,java,<T>,
TEMPLATE,rust,<T>,
TRY,cpp,try,
TRY,java,try,
TRY,python,try,
TRY,rust,match,
CATCH,cpp,catch,
CATCH,java,catch,
CATCH,python,except,
CATCH,rust,Err,
THROW,cpp,throw,
THROW,java,throw,
THROW,python,raise,
THROW,rust,panic!,
PRINT,basic,PRINT,
PRINT,c,printf,stdio.h
PRINT,cpp,cout,iostream
PRINT,go,fmt.Println,fmt
PRINT,java,System.out.println,
PRINT,python,print,
PRINT,rust,println!,
READ,basic,INPUT,
READ,c,scanf,stdio.h
READ,cpp,cin,iostream
READ,go,fmt.Scan,fmt
READ,java,Scanner,java.util.Scanner
READ,python,input,
READ,rust,read_line,
INCLUDE,c,#include,
INCLUDE,cpp,#include,
INCLUDE,go,import,
INCLUDE,java,import,
INCLUDE,python,import,
INCLUDE,rust,use,
DEFINE,c,#define,
DEFINE,cpp,#define,
DEFINE,rust,macro_rules!,
MAIN,basic,,
MAIN,c,main,
MAIN,cpp,main,
MAIN,go,main,
MAIN,java,main,
MAIN,python,__main__,
MAIN,rust,main,
FUNCTION,basic,SUB,
FUNCTION,c,,
FUNCTION,cpp,,
FUNCTION,go,func,
FUNCTION,java,,
FUNCTION,python,def,
FUNCTION,rust,fn,
