family,script,language,script_table,hindawi,dialect_standard,idiolect_profile,constructs_translated,decorators_translated,reviewer,status,ilm_version
Indo-Aryan,devanagari,hindi,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,marathi,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,konkani,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,nepali,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,sanskrit,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,pali,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,prakrit,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,bodo,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,dogri,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,maithili,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,marwari,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,bhojpuri,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,awadhi,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,magahi,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,devanagari,rajasthani,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,bengali,bengali,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,bengali,assamese,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,gujarati,gujarati,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,gurmukhi,punjabi,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,oriya,odia,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,sinhala,sinhala,yes,template,,,,,,OPEN,0.1.0
Indo-Aryan,sharada,kashmiri,yes,generated,,,,,,OPEN,0.1.0
Indo-Aryan,khudawadi,sindhi,yes,generated,,,,,,OPEN,0.1.0
