construct,standard,host,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
C_MAIN,main,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_BASSTUB_C,basstub.c,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_ALLOC_H,alloc.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_ASSERT_H,assert.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_BIOS_H,bios.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_CONIO_H,conio.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_CTYPE_H,ctype.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_DIR_H,dir.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_DOS_H,dos.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
C_ERRNO_H,errno.h,c,projected:perso-arabic,projected:aramaic,projected:bengali,projected:bengali,projected:perso-arabic,projected:gujarati,projected:hebrew,authored,projected:kannada,projected:sharada,projected:malayalam,projected:devanagari,projected:devanagari,projected:oriya,projected:devanagari,projected:perso-arabic,projected:perso-arabic,projected:phoenician,projected:devanagari,projected:gurmukhi,projected:devanagari,projected:perso-arabic,projected:khudawadi,projected:syriac,projected:tamil,projected:telugu,projected:perso-arabic
