construct,standard,host,kind,iso_clause,std_ref,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
C_MAIN,main,c,identifier,5.1.2.2.1,ISO/IEC 9899:2011,,,,,,,,मुख्य,,,,,,,,,,,,,,,,,,,مرکزی
C_BASSTUB_C,basstub.c,c,header,,ISO/IEC 9899:2011,,,,,,,,प्राथमिक\.स,,,,,,,,,,,,,,,,,,,
C_ALLOC_H,alloc.h,c,header,,ISO/IEC 9899:2011,,,,,,,,भाग\.स,,,,,,,,,,,,,,,,,,,
C_ASSERT_H,assert.h,c,header,,ISO/IEC 9899:2011,,,,,,,,निश्चित\.स,,,,,,,,,,,,,,,,,,,
C_BIOS_H,bios.h,c,header,,ISO/IEC 9899:2011,,,,,,,,मूलप्रण\.स,,,,,,,,,,,,,,,,,,,
C_CONIO_H,conio.h,c,header,,ISO/IEC 9899:2011,,,,,,,,पट्टपन\.स,,,,,,,,,,,,,,,,,,,
C_CTYPE_H,ctype.h,c,header,,ISO/IEC 9899:2011,,,,,,,,प्रकार\.स,,,,,,,,,,,,,,,,,,,
C_DIR_H,dir.h,c,header,,ISO/IEC 9899:2011,,,,,,,,सूची\.स,,,,,,,,,,,,,,,,,,,
C_DOS_H,dos.h,c,header,,ISO/IEC 9899:2011,,,,,,,,डॉस\.स,,,,,,,,,,,,,,,,,,,
C_ERRNO_H,errno.h,c,header,,ISO/IEC 9899:2011,,,,,,,,त्रुटिसं\.स,,,,,,,,,,,,,,,,,,,
C_FLOAT_H,float.h,c,header,,ISO/IEC 9899:2011,,,,,,,,भग्न\.स,,,,,,,,,,,,,,,,,,,
C_IO_H,io.h,c,header,,ISO/IEC 9899:2011,,,,,,,,पन\.स,,,,,,,,,,,,,,,,,,,
C_LIMITS_H,limits.h,c,header,,ISO/IEC 9899:2011,,,,,,,,सीमा\.स,,,,,,,,,,,,,,,,,,,
C_LOCALE_H,locale.h,c,header,,ISO/IEC 9899:2011,,,,,,,,क्षेत्र\.स,,,,,,,,,,,,,,,,,,,
C_MATH_H,math.h,c,header,,ISO/IEC 9899:2011,,,,,,,,गणित\.स,,,,,,,,,,,,,,,,,,,
C_MEM_H,mem.h,c,header,,ISO/IEC 9899:2011,,,,,,,,स्मृति\.स,,,,,,,,,,,,,,,,,,,
C_PROCESS_H,process.h,c,header,,ISO/IEC 9899:2011,,,,,,,,क्रिया\.स,,,,,,,,,,,,,,,,,,,
C_SETJMP_H,setjmp.h,c,header,,ISO/IEC 9899:2011,,,,,,,,समलाँघ\.स,,,,,,,,,,,,,,,,,,,
C_SIGNAL_H,signal.h,c,header,,ISO/IEC 9899:2011,,,,,,,,संकेत\.स,,,,,,,,,,,,,,,,,,,
C_STDARG_H,stdarg.h,c,header,,ISO/IEC 9899:2011,,,,,,,,मानकतर्क\.स,,,,,,,,,,,,,,,,,,,
C_STDDEF_H,stddef.h,c,header,,ISO/IEC 9899:2011,,,,,,,,मानकघोष\.स,,,,,,,,,,,,,,,,,,,
C_STDIO_H,stdio.h,c,header,,ISO/IEC 9899:2011,,,,,,,,मानकपन\.स,,,,,,,,,,,,,,,,,,,معیاری.س
C_STDLIB_H,stdlib.h,c,header,,ISO/IEC 9899:2011,,,,,,,,मानककोष\.स,,,,,,,,,,,,,,,,,,,
C_STRING_H,string.h,c,header,,ISO/IEC 9899:2011,,,,,,,,माला\.स,,,,,,,,,,,,,,,,,,,
C_STAT_H,stat.h,c,header,,ISO/IEC 9899:2011,,,,,,,,स्थिति\.स,,,,,,,,,,,,,,,,,,,
C_TIME_H,time.h,c,header,,ISO/IEC 9899:2011,,,,,,,,समय\.स,,,,,,,,,,,,,,,,,,,
C_TIMEB_H,timeb.h,c,header,,ISO/IEC 9899:2011,,,,,,,,ब_समय\.स,,,,,,,,,,,,,,,,,,,
C__,{,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अणु,,,,,,,,,,,,,,,,,,,
C__,},c,identifier,,ISO/IEC 9899:2011,,,,,,,,पूर्ण,,,,,,,,,,,,,,,,,,,
C__DEFINE,#define,c,directive,6.10.3,ISO/IEC 9899:2011,,,,,,,,\#घोषणा,,,,,,,,,,,,,,,,,,,#تعریف
C__ELIF,#elif,c,directive,6.10.1,ISO/IEC 9899:2011,,,,,,,,\#या_अगर,,,,,,,,,,,,,,,,,,,
C__ELSE,#else,c,directive,6.10.1,ISO/IEC 9899:2011,,,,,,,,\#अन्यथा,,,,,,,,,,,,,,,,,,,
C__ENDIF,#endif,c,directive,6.10.1,ISO/IEC 9899:2011,,,,,,,,\#पूर्ण_अगर,,,,,,,,,,,,,,,,,,,
C__ERROR,#error,c,directive,6.10.5,ISO/IEC 9899:2011,,,,,,,,\#त्रुटि,,,,,,,,,,,,,,,,,,,
C__IF,#if,c,directive,6.10.1,ISO/IEC 9899:2011,,,,,,,,\#अगर,,,,,,,,,,,,,,,,,,,
C__IFDEF,#ifdef,c,directive,6.10.1,ISO/IEC 9899:2011,,,,,,,,\#अगर_घोषित,,,,,,,,,,,,,,,,,,,
C__IFNDEF,#ifndef,c,directive,6.10.1,ISO/IEC 9899:2011,,,,,,,,\#अगर_अघोषित,,,,,,,,,,,,,,,,,,,
C__INCLUDE,#include,c,directive,6.10.2,ISO/IEC 9899:2011,,,,,,,,\#समावेश,,,,,,,,,,,,,,,,,,,#شامل
C__LINE,#line,c,directive,6.10.4,ISO/IEC 9899:2011,,,,,,,,\#पंक्ति,,,,,,,,,,,,,,,,,,,
C__PRAGMA,#pragma,c,directive,6.10.6,ISO/IEC 9899:2011,,,,,,,,\#आशय,,,,,,,,,,,,,,,,,,,
C__UNDEF,#undef,c,directive,6.10.3,ISO/IEC 9899:2011,,,,,,,,\#अघोषित,,,,,,,,,,,,,,,,,,,
C_BUFSIZ,BUFSIZ,c,identifier,,ISO/IEC 9899:2011,,,,,,,,बफ_मान,,,,,,,,,,,,,,,,,,,
C_CHAR_BIT,CHAR_BIT,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अक्षर_बिट,,,,,,,,,,,,,,,,,,,
C_CHAR_MAX,CHAR_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अक्षर_उच्च,,,,,,,,,,,,,,,,,,,
C_CHAR_MIN,CHAR_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अक्षर_न्यून,,,,,,,,,,,,,,,,,,,
C_CHILD_MAX,CHILD_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,शिशु_उच्च,,,,,,,,,,,,,,,,,,,
C_CLK_TCK,CLK_TCK,c,identifier,,ISO/IEC 9899:2011,,,,,,,,घड़ी_टिक,,,,,,,,,,,,,,,,,,,
C_DBL_DIG,DBL_DIG,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द्विग_भग्न,,,,,,,,,,,,,,,,,,,
C_DBL_EPSILON,DBL_EPSILON,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द्विग_अंतर,,,,,,,,,,,,,,,,,,,
C_DBL_MANT_DIG,DBL_MANT_DIG,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द्विग_पूर्ण,,,,,,,,,,,,,,,,,,,
C_DBL_MAX,DBL_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द्विग_उच्च,,,,,,,,,,,,,,,,,,,
C_DBL_MIN,DBL_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द्विग_न्यून,,,,,,,,,,,,,,,,,,,
C_DIR,DIR,c,identifier,,ISO/IEC 9899:2011,,,,,,,,सूची,,,,,,,,,,,,,,,,,,,
C_EDOM,EDOM,c,identifier,,ISO/IEC 9899:2011,,,,,,,,गलत_तर्क,,,,,,,,,,,,,,,,,,,
C_EOF,EOF,c,identifier,,ISO/IEC 9899:2011,,,,,,,,खातापूर्ण,,,,,,,,,,,,,,,,,,,
C_ERANGE,ERANGE,c,identifier,,ISO/IEC 9899:2011,,,,,,,,दुस्फल,,,,,,,,,,,,,,,,,,,
C_EXIT_FAILURE,EXIT_FAILURE,c,identifier,,ISO/IEC 9899:2011,,,,,,,,निकास_त्रुटि,,,,,,,,,,,,,,,,,,,
C_EXIT_SUCCESS,EXIT_SUCCESS,c,identifier,,ISO/IEC 9899:2011,,,,,,,,निकास_सफल,,,,,,,,,,,,,,,,,,,
C_FILE,FILE,c,identifier,,ISO/IEC 9899:2011,,,,,,,,खाता,,,,,,,,,,,,,,,,,,,
C_FILENAME_MAX,FILENAME_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,खातानाम_उच्च,,,,,,,,,,,,,,,,,,,
C_FLT_DIG,FLT_DIG,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भग्न_भग्न,,,,,,,,,,,,,,,,,,,
C_FLT_EPSILON,FLT_EPSILON,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भग्न_अंतर,,,,,,,,,,,,,,,,,,,
C_FLT_MANT_DIG,FLT_MANT_DIG,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भग्न_पूर्ण,,,,,,,,,,,,,,,,,,,
C_FLT_MAX,FLT_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भग्न_उच्च,,,,,,,,,,,,,,,,,,,
C_FLT_MIN,FLT_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भग्न_न्यून,,,,,,,,,,,,,,,,,,,
C_FLT_RADIX,FLT_RADIX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,भग्न_आधार,,,,,,,,,,,,,,,,,,,
C_FOPEN_MAX,FOPEN_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ख_खोलो_उच्च,,,,,,,,,,,,,,,,,,,
C_HUGE_VAL,HUGE_VAL,c,identifier,,ISO/IEC 9899:2011,,,,,,,,विशाल_मान,,,,,,,,,,,,,,,,,,,
C_INFINITY,INFINITY,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अनन्त,,,,,,,,,,,,,,,,,,,
C_INT_MAX,INT_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,पूर्णांक_उच्च,,,,,,,,,,,,,,,,,,,
C_INT_MIN,INT_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,पूर्णांक_न्यून,,,,,,,,,,,,,,,,,,,
C_LDBL_DIG,LDBL_DIG,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द_द्वि_भग्न,,,,,,,,,,,,,,,,,,,
C_LDBL_EPSILON,LDBL_EPSILON,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द_द्वि_अंतर,,,,,,,,,,,,,,,,,,,
C_LDBL_MANT_DIG,LDBL_MANT_DIG,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द_द्वि_पूर्ण,,,,,,,,,,,,,,,,,,,
C_LDBL_MAX,LDBL_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द_द्वि_उच्च,,,,,,,,,,,,,,,,,,,
C_LDBL_MIN,LDBL_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,द_द्वि_न्यून,,,,,,,,,,,,,,,,,,,
C_LONG_MAX,LONG_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,दीर्घ_उच्च,,,,,,,,,,,,,,,,,,,
C_LONG_MIN,LONG_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,दीर्घ_न्यून,,,,,,,,,,,,,,,,,,,
C_L_TMPNAM,L_tmpnam,c,identifier,,ISO/IEC 9899:2011,,,,,,,,ब_क्षणिक,,,,,,,,,,,,,,,,,,,
C_NAN,NAN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,न_अंक,,,,,,,,,,,,,,,,,,,
C_NDEBUG,NDEBUG,c,identifier,,ISO/IEC 9899:2011,,,,,,,,न_संशोधन,,,,,,,,,,,,,,,,,,,
C_NULL,NULL,c,identifier,,ISO/IEC 9899:2011,,,,,,,,शून्य,,,,,,,,,,,,,,,,,,,
C_RAND_MAX,RAND_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अक्रम_उच्च,,,,,,,,,,,,,,,,,,,
C_SCHAR_MAX,SCHAR_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,च_अक्षर_उच्च,,,,,,,,,,,,,,,,,,,
C_SCHAR_MIN,SCHAR_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,च_अक्षर_न्यून,,,,,,,,,,,,,,,,,,,
C_SEEK_CUR,SEEK_CUR,c,identifier,,ISO/IEC 9899:2011,,,,,,,,प्रस्तुत_से,,,,,,,,,,,,,,,,,,,
C_SEEK_END,SEEK_END,c,identifier,,ISO/IEC 9899:2011,,,,,,,,अंत_से,,,,,,,,,,,,,,,,,,,
C_SEEK_SET,SEEK_SET,c,identifier,,ISO/IEC 9899:2011,,,,,,,,शुरू_से,,,,,,,,,,,,,,,,,,,
C_SHRT_MAX,SHRT_MAX,c,identifier,,ISO/IEC 9899:2011,,,,,,,,लघु_उच्च,,,,,,,,,,,,,,,,,,,
C_SHRT_MIN,SHRT_MIN,c,identifier,,ISO/IEC 9899:2011,,,,,,,,लघु_न्यून,,,,,,,,,,,,,,,,,,,
C_SIBGABRT,SIBGABRT,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_पात,,,,,,,,,,,,,,,,,,,
C_SIGFPE,SIGFPE,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_भ_त्रुटि,,,,,,,,,,,,,,,,,,,
C_SIGILL,SIGILL,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_अवैध,,,,,,,,,,,,,,,,,,,
C_SIGINT,SIGINT,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_विघ्न,,,,,,,,,,,,,,,,,,,
C_SIGSEGV,SIGSEGV,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_अंश,,,,,,,,,,,,,,,,,,,
C_SIGTERM,SIGTERM,c,identifier,,ISO/IEC 9899:2011,,,,,,,,संक_इति,,,,,,,,,,,,,,,,,,,
