# dari → cpp  |  script: Perso-Arabic  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/shraeni/h2cpp.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	cpp
	orictxt832	|=
	orictxt833	||
	orictxt835	~
	orictxt1	!
	orictxt2	!=
	orictxt5	#
	orictxt6	##
	orictxt21	%
	orictxt22	%=
	orictxt23	&
	orictxt24	&&
	orictxt25	&=
	orictxt26	*
	orictxt27	*=
	orictxt28	+
	orictxt29	++
	orictxt30	+=
	orictxt31	-
	orictxt32	--
	orictxt33	-=
	orictxt34	->
	orictxt35	->*
	orictxt36	.
	orictxt37	.*
	orictxt38	/
	orictxt39	/=
	orictxt40	::
	orictxt41	<
	orictxt42	<<
	orictxt43	<<=
	orictxt44	>
	orictxt45	>>
	orictxt46	>>=
	orictxt47	?:
	orictxt57	ARG_MAX
	orictxt58	B0
	orictxt59	B110
	orictxt60	B1200
	orictxt61	B134
	orictxt62	B150
	orictxt63	B1800
	orictxt64	B19200
	orictxt65	B200
	orictxt66	B2400
	orictxt67	B300
	orictxt68	B38400
	orictxt69	B4800
	orictxt70	B50
	orictxt71	B600
	orictxt72	B75
	orictxt73	B9600
	orictxt74	BRKINT
	orictxt81	CLOCAL
	orictxt82	CLOCKS_PER_SEC
	orictxt83	CREAD
	orictxt84	CS5
	orictxt85	CS6
	orictxt86	CS7
	orictxt87	CS8
	orictxt88	CSIZE
	orictxt89	CSTOPB
	orictxt94	DBL_MAX_10_EXP
	orictxt95	DBL_MAX_EXP
	orictxt97	DBL_MIN_10_EXP
	orictxt98	DBL_MIN_EXP
	orictxt100	E2BIG
	orictxt101	EACCESS
	orictxt102	EAGAIN
	orictxt103	EBADF
	orictxt104	EBUSY
	orictxt105	ECHILD
	orictxt106	ECHO
	orictxt107	ECHOE
	orictxt108	ECHOK
	orictxt109	ECHONL
	orictxt110	EDEADLK
	orictxt112	EEXIST
	orictxt113	EFAULT
	orictxt114	EFBIG
	orictxt115	EINTR
	orictxt116	EINVAL
	orictxt117	EIO
	orictxt118	EISDIR
	orictxt119	EMFILE
	orictxt120	EMLINK
	orictxt121	ENAMETOOLONG
	orictxt122	ENFILE
	orictxt123	ENODEV
	orictxt124	ENOENT
	orictxt125	ENOEXEC
	orictxt126	ENOLCK
	orictxt127	ENOMEM
	orictxt128	ENOSPC
	orictxt129	ENOTDIR
	orictxt130	ENOTEMPTY
	orictxt131	ENOTTY
	orictxt132	ENXIO
	orictxt134	EPERM
	orictxt135	EPIPE
	orictxt137	EROFS
	orictxt138	ESPIPE
	orictxt139	ESRCH
	orictxt140	EXDEV
	orictxt143	FD_CLOEXEC
	orictxt144	FE_ALL_EXCEPT
	orictxt145	FE_DBLPREC
	orictxt146	FE_DIVBYZERO
	orictxt147	FE_DOWNWARD
	orictxt148	FE_FLTPREC
	orictxt149	FE_INEXACT
	orictxt150	FE_INVALID
	orictxt151	FE_LDBLPREC
	orictxt152	FE_OVERFLOW
	orictxt153	FE_TONEAREST
	orictxt154	FE_TOWARDZERO
	orictxt155	FE_UNDERFLOW
	orictxt156	FE_UPWARD
	orictxt163	FLT_MAX_10_EXP
	orictxt164	FLT_MAX_EXP
	orictxt166	FLT_MIN_10_EXP
	orictxt167	FLT_MIN_EXP
	orictxt169	FLT_ROUNDS
	orictxt171	FP_INFINITE
	orictxt172	FP_NANQ
	orictxt173	FP_NANS
	orictxt174	FP_NORMAL
	orictxt175	FP_SUBNORMAL
	orictxt176	FP_ZERO
	orictxt177	F_DUPFD
	orictxt178	F_GETFD
	orictxt179	F_GETFL
	orictxt180	F_GETLK
	orictxt181	F_OK
	orictxt182	F_RDLCK
	orictxt183	F_SETFD
	orictxt184	F_SETFL
	orictxt185	F_SETLK
	orictxt186	F_SETLKW
	orictxt187	F_UNLCK
	orictxt188	F_WRLCK
	orictxt190	HUPCL
	orictxt191	ICANON
	orictxt192	ICRNL
	orictxt193	IEXTEN
	orictxt194	IGNBRK
	orictxt195	IGNCR
	orictxt196	IGNLCR
	orictxt197	IGNPAR
	orictxt199	INPCK
	orictxt202	ISIG
	orictxt203	ISTRIP
	orictxt204	IXOFF
	orictxt205	IXON
	orictxt206	LC_ALL
	orictxt207	LC_COLLATE
	orictxt208	LC_CTYPE
	orictxt209	LC_MONETARY
	orictxt210	LC_NUMERIC
	orictxt211	LC_TIME
	orictxt221	LDBL_MAX_10_EXP
	orictxt223	LDBL_MAX_EXP
	orictxt227	LDBL_MIN_10_EXP
	orictxt229	LDBL_MIN_EXP
	orictxt233	L_ctermid
	orictxt235	MAX_CANON
	orictxt236	MAX_INPUT
	orictxt237	MB_CUR_MAX
	orictxt238	MB_LEN_MAX
	orictxt239	NAME_MAX
	orictxt241	NANS
	orictxt242	NCCS
	orictxt244	NGROUPS_MAX
	orictxt245	NOFLSH
	orictxt247	OPEN_MAX
	orictxt248	OPOST
	orictxt249	O_ACCMODE
	orictxt250	O_APPEND
	orictxt251	O_CREAT
	orictxt252	O_EXCL
	orictxt253	O_NOCTTY
	orictxt254	O_NONBLOCK
	orictxt255	O_RDONLY
	orictxt256	O_RDWR
	orictxt257	O_TRUNC
	orictxt258	O_WRONLY
	orictxt259	PARENB
	orictxt260	PARMRK
	orictxt261	PARODD
	orictxt262	PATH_MAX
	orictxt263	PIPE_BUF
	orictxt265	R_OK
	orictxt266	SA_NOCLDSTOP
	orictxt275	SIGARLM
	orictxt276	SIGCHLD
	orictxt277	SIGCONT
	orictxt279	SIGHUP
	orictxt282	SIGKILL
	orictxt283	SIGPIPE
	orictxt284	SIGQUIT
	orictxt286	SIGSTOP
	orictxt288	SIGTSTP
	orictxt289	SIGTTIN
	orictxt290	SIGTTOU
	orictxt291	SIGUSR1
	orictxt292	SIGUSR2
	orictxt293	SIG_BLOCK
	orictxt297	SIG_SETMASK
	orictxt298	SIG_UNBLOCK
	orictxt299	SSIZE_MAX
	orictxt300	STDERR_FILENO
	orictxt301	STDIN_FILENO
	orictxt302	STDOUT_FILENO
	orictxt303	STREAM_MAX
	orictxt304	S_IRGRP
	orictxt305	S_IROTH
	orictxt306	S_IRUSR
	orictxt307	S_IRWXG
	orictxt308	S_IRWXO
	orictxt309	S_IRWXU
	orictxt310	S_ISBLK
	orictxt311	S_ISCHR
	orictxt312	S_ISDIR
	orictxt313	S_ISFIFO
	orictxt314	S_ISGID
	orictxt315	S_ISREGSUID
	orictxt316	S_IWGRP
	orictxt317	S_IWOTH
	orictxt318	S_IWUSR
	orictxt319	S_IXGRP
	orictxt320	S_IXOTH
	orictxt321	S_IXUSR
	orictxt322	ScreenMode
	orictxt323	TCIFLUSH
	orictxt324	TCIOFF
	orictxt325	TCIOFLUSH
	orictxt326	TCION
	orictxt327	TCOFF
	orictxt328	TCOFLUSH
	orictxt329	TCOON
	orictxt330	TCSADRAIN
	orictxt331	TCSAFLUSH
	orictxt332	TCSANOW
	orictxt334	TOSTOP
	orictxt335	TZNAME_MAX
	orictxt340	VEOF
	orictxt341	VEOL
	orictxt342	VERASE
	orictxt343	VINTR
	orictxt344	VKILL
	orictxt345	VMIN
	orictxt346	VQUIT
	orictxt347	VSTART
	orictxt348	VSTOP
	orictxt349	VSUSP
	orictxt350	VTIME
	orictxt351	WEXITSTATUS
	orictxt352	WIFEXITED
	orictxt353	WIFSIGNALED
	orictxt354	WIFSTOPPED
	orictxt355	WNOHANG
	orictxt356	WSTOPSIG
	orictxt357	WTERMSIG
	orictxt358	WUNTRACED
	orictxt359	W_OK
	orictxt360	X_OK
	orictxt361	[
	orictxt362	[]
	orictxt363	\\
	orictxt364	\\\
	orictxt365	\\\'
	orictxt366	\\\?
	orictxt367	\\\\
	orictxt376	]
	orictxt378	^
	orictxt379	^=
	orictxt380	_8087
	orictxt381	_IOFBF
	orictxt382	_IOLBF
	orictxt383	_IONBF
	orictxt384	_PC_CHOWN_RESTRICTED
	orictxt385	_PC_MAX_CANON
	orictxt386	_PC_MAX_INPUT
	orictxt387	_PC_NAME_MAX
	orictxt388	_PC_NO_TRUNC
	orictxt389	_PC_PATH_MAX
	orictxt390	_PC_PIPE_BUF
	orictxt391	_PC_VDISABLE
	orictxt392	_POSIX_ARG_MAX
	orictxt393	_POSIX_CHILD_MAX
	orictxt394	_POSIX_CHOWN_RESTRICTED
	orictxt395	_POSIX_JOB_CONTROL
	orictxt396	_POSIX_LINK_MAX
	orictxt397	_POSIX_MAX_CANON
	orictxt398	_POSIX_MAX_INPUT
	orictxt399	_POSIX_NAME_MAX
	orictxt400	_POSIX_NGROUPS_MAX
	orictxt401	_POSIX_NO_TRUNC
	orictxt402	_POSIX_OPEN_MAX
	orictxt403	_POSIX_PATH_MAX
	orictxt404	_POSIX_SAVED_IDS
	orictxt405	_POSIX_SSIZE_MAX
	orictxt406	_POSIX_STREAM_MAX
	orictxt407	_POSIX_TZNAME_MAX
	orictxt408	_POSIX_VDISABLE
	orictxt409	_POSIX_VERSION
	orictxt410	_SC_ARG_MAX
	orictxt411	_SC_CHILD_MAX
	orictxt412	_SC_CLK_TCK
	orictxt413	_SC_JOB_CONTROL
	orictxt414	_SC_NGROUPS_MAX
	orictxt415	_SC_OPEN_MAX
	orictxt416	_SC_SAVED_IDS
	orictxt417	_SC_STREAM_MAX
	orictxt418	_SC_TZNAME_MAX
	orictxt419	_SC_VERSION
	__दिन__	__DATE__
	__खाता__	__FILE__
	orictxt422	__FPCE_IEEE__
	orictxt423	__FPCE__
	__पंक्ति__	__LINE__
	__मानक__	__STDC__
	__समय__	__TIME__
	orictxt427	_atold
	_निकास	_exit
	orictxt429	_stklen
	orictxt432	access
	orictxt433	acos
	orictxt434	alarm
	orictxt435	alarm
	orictxt436	alloca
	orictxt438	asctime
	orictxt439	asin
	orictxt443	atan
	orictxt444	atan2
	orictxt450	basename
	orictxt452	brk
	orictxt457	cc_t
	orictxt459	cfgetispeed
	orictxt460	cfgetospeed
	orictxt461	cfsetispeed
	orictxt462	cfsetospeed
	orictxt465	chmod
	orictxt466	chown
	orictxt475	cos
	orictxt476	cosh
	orictxt477	creat
	orictxt478	crlf2nl
	orictxt479	ctermid
	orictxt481	cuserid
	orictxt483	defined
	orictxt486	dev_t
	orictxt492	dosmemget
	orictxt493	dosmemput
	orictxt495	dup
	orictxt496	dup2
	orictxt500	execl
	orictxt501	execle
	orictxt502	execlp
	orictxt503	execv
	orictxt504	execve
	orictxt505	execvp
	orictxt507	exp
	orictxt510	fcbt
	orictxt512	fcntl
	orictxt513	fcntl
