# odia → c  |  script: Odia  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/guru/h2c.lex)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	c
ଯଦି	yadi	if
ଅନ୍ୟଥା	anyathaa	else
ଯେପର୍ଯ୍ୟନ୍ତ	yeeparyyanta	while
କର	kara	do
ପାଇଁ	paaii_n	for
ଭାଙ୍ଗ	bhaa_nga	break
ଜାରି	jaari	continue
ବାଛ	baacha	switch
ସ୍ଥିତି	sthiti	case
ପୂର୍ବନିର୍ଦ୍ଧାରିତ	puurbanirddhaarita	default
ଫେରାଅ	pheeraaa	return
ଅଚଳ	acala	const
ପୂର୍ଣ୍ଣସଂଖ୍ୟା	puur_n_nasa_mkhyaa	int
ଦଶମିକ	dashamika	float
ଦ୍ୱିଗୁଣ	dvigu_na	double
ଅକ୍ଷର	ak_sara	char
ଶୂନ୍ୟ	shuunya	void
କାର୍ଯ୍ୟ	kaaryya	void
ଶ୍ରେଣୀ	shree_nii	class
ନୂତନ	nuutana	new
ସର୍ବସାଧାରଣ	sarbasaadhaara_na	public
ବ୍ୟକ୍ତିଗତ	byaktigata	private
ସ୍ଥିର	sthira	static
ଆଭାସୀ	aabhaasii	virtual
ଯେତେବେଳେ	yeeteebeelee	case
ସଂରଚନା	sa_nracanaa	struct
