# punjabi → java  |  script: Gurmukhi  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/kritrima/h2j.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	java
ਨਹੀਂਤਾਂ	nahii_ntaa_n	else
ਜਦਤੱਕ	jadatakka	while
ਕਰੋ	karau	do
ਰੋਕੋ	raukau	stop
ਜਾਰੀ	jaarii	continue
ਚੋਣ	cau_na	switch
ਪੂਰਨਅੰਕ	puurana_nka	int
ਅੱਖਰ	akkhara	char
ਨਿਜੀ	nijii	private
ਸਥਿਰ	sathira	const
