construct,standard,host,romenagri
C_MAIN,main,c,mukhya
C_BASSTUB_C,basstub.c,c,praa_thamika\.sa
C_ALLOC_H,alloc.h,c,bhaaga\.sa
C_ASSERT_H,assert.h,c,nishchi_ta\.sa
C_BIOS_H,bios.h,c,moolapra_nna\.sa
C_CONIO_H,conio.h,c,pattapana\.sa
C_CTYPE_H,ctype.h,c,prakaara\.sa
C_DIR_H,dir.h,c,soochee\.sa
C_DOS_H,dos.h,c,dausa\.sa
C_ERRNO_H,errno.h,c,_trutisa_m\.sa
C_FLOAT_H,float.h,c,bhagna\.sa
C_IO_H,io.h,c,pana\.sa
C_LIMITS_H,limits.h,c,seemaa\.sa
C_LOCALE_H,locale.h,c,kxae_tra\.sa
C_MATH_H,math.h,c,ga_nni_ta\.sa
C_MEM_H,mem.h,c,sm_ri_ti\.sa
C_PROCESS_H,process.h,c,kriyaa\.sa
C_SETJMP_H,setjmp.h,c,samalaa_nagha\.sa
C_SIGNAL_H,signal.h,c,sa_mkae_ta\.sa
C_STDARG_H,stdarg.h,c,maanaka_tarka\.sa
C_STDDEF_H,stddef.h,c,maanakaghoaxa\.sa
C_STDIO_H,stdio.h,c,maanakapana\.sa
C_STDLIB_H,stdlib.h,c,maanakakoaxa\.sa
C_STRING_H,string.h,c,maalaa\.sa
C_STAT_H,stat.h,c,s_thi_ti\.sa
C_TIME_H,time.h,c,samaya\.sa
C_TIMEB_H,timeb.h,c,ba_samaya\.sa
C__,{,c,_a_nnu
C__,},c,poor_nna
C__DEFINE,#define,c,\#ghoaxa_nnaa
C__ELIF,#elif,c,\#yaa__agara
C__ELSE,#else,c,\#_anya_thaa
C__ENDIF,#endif,c,\#poor_nna__agara
C__ERROR,#error,c,\#_truti
C__IF,#if,c,\#_agara
C__IFDEF,#ifdef,c,\#_agara_ghoaxi_ta
C__IFNDEF,#ifndef,c,\#_agara__aghoaxi_ta
C__INCLUDE,#include,c,\#samaawaesha
C__LINE,#line,c,\#pa_mk_ti
C__PRAGMA,#pragma,c,\#_aashaya
C__UNDEF,#undef,c,\#_aghoaxi_ta
C_BUFSIZ,BUFSIZ,c,bapha_maana
C_CHAR_BIT,CHAR_BIT,c,_akxara_bita
C_CHAR_MAX,CHAR_MAX,c,_akxara__uchcha
C_CHAR_MIN,CHAR_MIN,c,_akxara_nyoona
C_CHILD_MAX,CHILD_MAX,c,shishu__uchcha
C_CLK_TCK,CLK_TCK,c,gha_rdee_tika
C_DBL_DIG,DBL_DIG,c,_dwiga_bhagna
C_DBL_EPSILON,DBL_EPSILON,c,_dwiga__a_m_tara
C_DBL_MANT_DIG,DBL_MANT_DIG,c,_dwiga_poor_nna
C_DBL_MAX,DBL_MAX,c,_dwiga__uchcha
C_DBL_MIN,DBL_MIN,c,_dwiga_nyoona
C_DIR,DIR,c,soochee
C_EDOM,EDOM,c,gala_ta__tarka
C_EOF,EOF,c,khaa_taapoor_nna
C_ERANGE,ERANGE,c,_dusphala
C_EXIT_FAILURE,EXIT_FAILURE,c,nikaasa__truti
C_EXIT_SUCCESS,EXIT_SUCCESS,c,nikaasa_saphala
C_FILE,FILE,c,khaa_taa
C_FILENAME_MAX,FILENAME_MAX,c,khaa_taanaama__uchcha
C_FLT_DIG,FLT_DIG,c,bhagna_bhagna
C_FLT_EPSILON,FLT_EPSILON,c,bhagna__a_m_tara
C_FLT_MANT_DIG,FLT_MANT_DIG,c,bhagna_poor_nna
C_FLT_MAX,FLT_MAX,c,bhagna__uchcha
C_FLT_MIN,FLT_MIN,c,bhagna_nyoona
C_FLT_RADIX,FLT_RADIX,c,bhagna__aa_dhaara
C_FOPEN_MAX,FOPEN_MAX,c,kha_khoaloa__uchcha
C_HUGE_VAL,HUGE_VAL,c,wishaala_maana
C_INFINITY,INFINITY,c,_anan_ta
C_INT_MAX,INT_MAX,c,poor_nnaa_mka__uchcha
C_INT_MIN,INT_MIN,c,poor_nnaa_mka_nyoona
C_LDBL_DIG,LDBL_DIG,c,_da__dwi_bhagna
C_LDBL_EPSILON,LDBL_EPSILON,c,_da__dwi__a_m_tara
C_LDBL_MANT_DIG,LDBL_MANT_DIG,c,_da__dwi_poor_nna
C_LDBL_MAX,LDBL_MAX,c,_da__dwi__uchcha
C_LDBL_MIN,LDBL_MIN,c,_da__dwi_nyoona
C_LONG_MAX,LONG_MAX,c,_deergha__uchcha
C_LONG_MIN,LONG_MIN,c,_deergha_nyoona
C_L_TMPNAM,L_tmpnam,c,ba_kxa_nnika
C_NAN,NAN,c,na__a_mka
C_NDEBUG,NDEBUG,c,na_sa_mshoa_dhana
C_NULL,NULL,c,shoonya
C_RAND_MAX,RAND_MAX,c,_akrama__uchcha
C_SCHAR_MAX,SCHAR_MAX,c,cha__akxara__uchcha
C_SCHAR_MIN,SCHAR_MIN,c,cha__akxara_nyoona
C_SEEK_CUR,SEEK_CUR,c,pras_tu_ta_sae
C_SEEK_END,SEEK_END,c,_a_m_ta_sae
C_SEEK_SET,SEEK_SET,c,shuroo_sae
C_SHRT_MAX,SHRT_MAX,c,laghu__uchcha
C_SHRT_MIN,SHRT_MIN,c,laghu_nyoona
C_SIBGABRT,SIBGABRT,c,sa_mka_paa_ta
C_SIGFPE,SIGFPE,c,sa_mka_bha__truti
C_SIGILL,SIGILL,c,sa_mka__awai_dha
C_SIGINT,SIGINT,c,sa_mka_wighna
C_SIGSEGV,SIGSEGV,c,sa_mka__a_msha
C_SIGTERM,SIGTERM,c,sa_mka__i_ti
C_SIG_DFL,SIG_DFL,c,sa_mka_poorwa
C_SIG_ERR,SIG_ERR,c,sa_mka__truti
C_SIG_IGN,SIG_IGN,c,sa_mka_chhoa_rdoa
C_TMP_MAX,TMP_MAX,c,kxa_nnika__uchcha
C_UCHAR_MAX,UCHAR_MAX,c,_acha__akxara__uchcha
C_UINT_MAX,UINT_MAX,c,_acha_poor_nnaa_mka__uchcha
C_ULONG_MAX,ULONG_MAX,c,_acha__deergha__uchcha
C_USHRT_MAX,USHRT_MAX,c,_acha_laghu__uchcha
C___DATE__,__DATE__,c,_____dina____
C___FILE__,__FILE__,c,____khaa_taa____
C___LINE__,__LINE__,c,____pa_mk_ti____
C___STDC__,__STDC__,c,____maanaka____
C___TIME__,__TIME__,c,____samaya____
C_ABORT,abort,c,paa_ta
C_ABS,abs,c,_asala
C_ASCTIME,asctime,c,samaya_theeka
C_ASM,asm,c,ya_m_tra
C_ASSERT,assert,c,nishchi_ta
C_ATEXIT,atexit,c,nikaasa_para
C_ATOF,atof,c,ma_sae_bha
C_ATOI,atoi,c,ma_sae_pa
C_ATOL,atol,c,ma_sae__da
C_AUTO,auto,c,swa_ta_hh
C_BREAK,break,c,_awaroa_dha
C_BSEARCH,bsearch,c,_dwaa_khoaja
C_CALLOC,calloc,c,susm_ri_ti
C_CASE,case,c,_haala
C_CEIL,ceil,c,_uchchamaana
C_CHAR,char,c,_akxara
C_CHDIR,chdir,c,sa_ba_daloa
C_CLEARERR,clearerr,c,saapha__truti
C_CLOCK,clock,c,gha_rdee
C_CLOCK_T,clock_t,c,gha_rdee_prakaara
C_CLOSE,close,c,ba_m_da
C_CLOSEDIR,closedir,c,ba_m_da_soochee
C_CONST,const,c,s_thira
C_CONTINUE,continue,c,jaaree
C_CTIME,ctime,c,sa_samaya
C_DEFAULT,default,c,shaexa
C_DIFFTIME,difftime,c,sa__a_m_tara
C_DIRNAME,dirname,c,sa_naama
C_DIV,div,c,bhaaga
C_DIV_T,div_t,c,bhaaga_prakaara
C_DO,do,c,karoa
C_DOUBLE,double,c,_dwiguna
C_ELSE,else,c,_anya_thaa
C_ENUM,enum,c,kramaaga_ta
C_ERRNO,errno,c,_truti_sa_m
C_EXIT,exit,c,nikaasa
C_EXTERN,extern,c,baa_hya
C_FABS,fabs,c,bha__asala
C_FCLOSE,fclose,c,kha_ba_m_da
C_FEOF,feof,c,kha_poor_nna
C_FERROR,ferror,c,kha__truti
C_FFLUSH,fflush,c,kha_saapha
C_FGETC,fgetc,c,kha__akxara_loa
C_FGETPOS,fgetpos,c,kha_s_thaana_loa
C_FGETS,fgets,c,kha_maalaa_loa
C_FLOAT,float,c,bhagna
C_FLOOR,floor,c,nyoonamaana
C_FMOD,fmod,c,bha_shaexa
C_FOPEN,fopen,c,kha_khoaloa
C_FOR,for,c,krama
C_FORK,fork,c,wibhaajana
C_FPOS_T,fpos_t,c,kha_s_thaana_prakaara
C_FPRINTF,fprintf,c,kha_likhoa
C_FPUTC,fputc,c,kha__akxara__doa
C_FPUTS,fputs,c,kha_maalaa__doa
C_FREAD,fread,c,kha_pa_rdhoa
C_FREE,free,c,muk_ta
C_FREOPEN,freopen,c,kha_wa_khoaloa
C_FRIEND,friend,c,mi_tra
C_FSCANF,fscanf,c,kha_poochhoa
C_FSEEK,fseek,c,kha_jaa_oa
C_FSETPOS,fsetpos,c,kha_s_thaana__doa
C_FSTAT,fstat,c,kha_s_thi_ti
C_FTELL,ftell,c,kha_ba_taa_oa
C_FWRITE,fwrite,c,kha_daaloa
C_GETC,getc,c,_a_loa
C_GETCHAR,getchar,c,_akxara_loa
C_GETENV,getenv,c,_doa_paryaa
C_GETS,gets,c,maalaa_loa
C_GMTIME,gmtime,c,sa_jamata
C_GOTO,goto,c,jaa_oa
C_IF,if,c,_agara
C_INLINE,inline,c,_a_m_tarabhoo_ta
C_INT,int,c,poor_nnaa_mka
C_ISALNUM,isalnum,c,_hai__akxara__a_mka
C_ISALPHA,isalpha,c,_hai__akxara
C_ISCNTRL,iscntrl,c,_hai_niya_m_tra_nna
C_ISDIGIT,isdigit,c,_hai__a_mka
C_ISFINITE,isfinite,c,_hai_seemi_ta
C_ISGRAPH,isgraph,c,_hai_chi_tra
C_ISLOWER,islower,c,_hai_chhoataa
C_ISODIGIT,isodigit,c,_hai__axtaka
C_ISPRINT,isprint,c,_hai_chhaapa
C_ISPUNCT,ispunct,c,_hai_wiraama
C_ISSPACE,isspace,c,_hai_khaalee
C_ISUPPER,isupper,c,_hai_ba_rdaa
C_ISXDIGIT,isxdigit,c,_hai_xaxthaa_dashaka
C_JMP_BUF,jmp_buf,c,laa_nagha_bapha
C_KILL,kill,c,samaap_ta
C_LABS,labs,c,_da__asala
C_LCONV,lconv,c,s_thaa_ba_dala
C_LDIV,ldiv,c,_da_bhaaga
C_LDIV_T,ldiv_t,c,_da_bhaaga_prakaara
C_LOCALECONV,localeconv,c,kxae_tra_ba_daloa
C_LOCALTIME,localtime,c,sa_s_thaaneeya
C_LONG,long,c,_deergha
C_LONGJMP,longjmp,c,_deergha_laa_nagha
C_MALLOC,malloc,c,_doa_sm_ri_ti
C_MEMCHR,memchr,c,sa_pra_thama
C_MEMCMP,memcmp,c,sa_bhae_da
C_MEMCPY,memcpy,c,sa_nakala
C_MEMMOVE,memmove,c,sa__hataa_oa
C_MEMSET,memset,c,sa_rakhoa
C_MKDIR,mkdir,c,soochee_ga_rdhoa
C_MKTIME,mktime,c,sa_ga_rdhoa
C_OFFSETOF,offsetof,c,_dura_twa
C_OPEN,open,c,khoaloa
C_OPENDIR,opendir,c,soochee_khoaloa
C_OPERATOR,operator,c,chaalaka
C_PAUSE,pause,c,chhoa_rdoa
C_PERROR,perror,c,likhoa__truti
C_POW,pow,c,ghaa_ta
C_PRINTF,printf,c,ma_likhoa
C_PRIVATE,private,c,nijee
C_PROTECTED,protected,c,rakxi_ta
C_PTRDIFF_T,ptrdiff_t,c,soochaka_bhae_da_prakaara
C_PUBLIC,public,c,khulaa
C_PUTC,putc,c,_a__doa
C_PUTCHAR,putchar,c,_akxara__doa
C_PUTS,puts,c,maalaa__doa
C_QSORT,qsort,c,kwika
C_RAISE,raise,c,_uthaa_oa
C_RAND,rand,c,_akrama
C_READ,read,c,pa_rdhoa
C_READDIR,readdir,c,soochee_pa_rdhoa
C_REALLOC,realloc,c,puna_hh_sm_ri_ti
C_REGISTER,register,c,raejistara
C_REMOVE,remove,c,_hataa_oa
C_RENAME,rename,c,naama
C_RETURN,return,c,waapasa
C_REWIND,rewind,c,shuru_aa_ta
C_REWINDDIR,rewinddir,c,soochee_shuru
C_RMDIR,rmdir,c,soochee__hataa_oa
C_SCANF,scanf,c,ma_poochhoa
C_SETBUF,setbuf,c,rakhoa_bapha
C_SETJMP,setjmp,c,banaa_oa_laa_nagha
C_SETLOCALE,setlocale,c,rakhoa_kxae_tra
C_SETVBUF,setvbuf,c,rakhoa_bhabapha
C_SHORT,short,c,laghu
C_SIG_ATOMIC_T,sig_atomic_t,c,sa_mka_poor_nna_prakaara
C_SIGNAL,signal,c,sa_mkae_ta
C_SIGNED,signed,c,chin_hi_ta
C_SIGPENDING,sigpending,c,sa_mka_baakee
C_SIGSUSPEND,sigsuspend,c,sa_mka_roakoa
C_SIZE_T,size_t,c,maapa_prakaara
C_SIZEOF,sizeof,c,maapa
C_SPRINTF,sprintf,c,pra_likhoa
C_SQRT,sqrt,c,warga_moola
C_SRAND,srand,c,baekrama
C_SSCANF,sscanf,c,maalaa_poochhoa
C_STATIC,static,c,_atala
C_STDERR,stderr,c,maanaka__truti
C_STDIN,stdin,c,maanaka_niwaesha
C_STDOUT,stdout,c,maanaka_nikaasa
C_STRCAT,strcat,c,ma_joa_rdoa
C_STRCHR,strchr,c,ma__akxara
